train_acc,train_loss,train_sign_acc,train_sign_loss,train_time,valid_acc,valid_loss,valid_time
28.447516025641026,2.5155565604185446,0.0,0.0,6.067011833190918,18.37,3.5024692810058595,1.2202703952789307
43.37139423076923,1.5424268698080992,0.0,0.0,5.723114967346191,16.64,5.04075380859375,1.0120749473571777
50.779246794871796,1.3516104196890806,0.0,0.0,5.747525453567505,18.01,3.282945751953125,1.0112688541412354
56.716746794871796,1.202546187547537,0.0,0.0,5.859874248504639,16.69,4.3212353515625,1.0735108852386475
61.02764423076923,1.0834052819472093,0.0,0.0,5.6864399909973145,29.9,3.0754362976074217,0.9782021045684814
64.38301282051282,0.9967091817122239,0.0,0.0,5.774979829788208,18.53,4.37878193359375,1.050706148147583
67.31570512820512,0.9209563527351771,0.0,0.0,5.91222071647644,32.87,2.609630633544922,1.0236685276031494
69.96594551282051,0.8487651384793795,0.0,0.0,5.7079150676727295,29.92,2.9814439636230468,1.1132135391235352
71.80288461538461,0.7968911993197906,0.0,0.0,5.908200740814209,35.48,2.5258501220703127,1.2161767482757568
73.50160256410257,0.7543808857599894,0.0,0.0,5.671358108520508,29.57,2.6180477783203124,0.9421653747558594
74.78165064102564,0.7177181778809963,0.0,0.0,5.757352828979492,26.67,2.8484045166015624,1.0042378902435303
75.94551282051282,0.6838525753754836,0.0,0.0,5.744431972503662,25.88,3.060194500732422,1.0799851417541504
77.27764423076923,0.6523234162575159,0.0,0.0,5.5568153858184814,33.37,2.9239864135742186,1.1488795280456543
78.25721153846153,0.62205363878837,0.0,0.0,5.905068874359131,30.88,2.8776833129882813,1.068629264831543
79.48717948717949,0.5913623279485947,0.0,0.0,6.013087511062622,28.2,3.0038432006835936,1.297541856765747
79.7295673076923,0.5830173215804956,0.0,0.0,6.039552927017212,27.75,3.0665559814453127,1.166487216949463
81.00761217948718,0.5448877936754472,0.0,0.0,5.729331016540527,31.96,3.7546814453125,1.2660152912139893
81.08573717948718,0.5345416590189322,0.0,0.0,5.911337852478027,33.06,2.9100737243652346,1.2037162780761719
82.16947115384616,0.5095053226519853,0.0,0.0,5.956146717071533,34.05,2.5555189086914063,1.1714260578155518
82.71834935897436,0.4957286631449675,0.0,0.0,5.930525541305542,26.89,3.3805856689453124,1.2731220722198486
